mark line  col file/text
 '      1    0 
 C    394    0 ~/Sites/FullSIX-Site-Groupe/front/source/scss/modules/_groupe_v2.scss
 H     11   26 ~/Sites/a.html
 J    141   24 ~/Sites/FullSIX-Site-Groupe/front/source/js/modules/controller.js
 O     26    8 ~/Sites/FullSIX-Site-Groupe/front/source/js/modules/contact.js
 P     57    6 ~/Sites/FullSIX-Site-Groupe/symfony/src/AppBundle/Controller/AppController.php
 R    399    0 ~/Desktop/foo.zob
 S     36    2 ~/Sites/FullSIX-Site-Groupe/front/source/js/modules/contact.js
 V      6   42 ~/.vim/bundle/custom/plugin/custom.vim
 X     21    1 ~/Documents/f6-starter-kit/_scripts/js.sh
 0    931   28 ~/Applications/MacVim.app/Contents/Resources/vim/runtime/doc/pattern.txt
 1      5   18 ~/.inputrc
 2    131    0 ~/.vim/colors/apprentice.vim
 3     48   35 ~/.vim/colors/apprentice.erb
 4     58    0 ~/Downloads/colorscheme_template.vim
